Ngành,Tên học phần,Lớp,MSSV,Made,Cau 1,Cau 2,Cau 3,Cau 4,Cau 5,TongDiem
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,212,M01,3.5,2.3,3.5,,,9.3
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,160,M01,3.5,2.25,3.5,,,9.3
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,170,M01,3,2.5,3.75,,,9
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,123,M01,3.8,2.3,3,,,9
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,154,M01,3.25,2,2.75,,,8
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,222,M01,3,2,2.8,,,7.8
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,208,M02,3.5,2.5,1.8,,,7.8
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,164,M02,3,1.75,2.75,,,7.5
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,179,M02,2.5,2,2.5,,,7
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,205,M02,3.25,1.75,2,,,7
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,138,M02,3,2,1,,,6
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,116,M02,2.3,2,1.5,,,5.8
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,110,M02,1.3,1.8,2.5,,,5.6
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,168,M02,1.75,2,1.75,,,5.5
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,156,M01,1.75,1.5,2.25,,,5.5
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,127,M01,1.5,2,1.8,,,5.3
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,143,M01,2.25,1.75,1.25,,,5.25
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,144,M01,1.75,1.5,1.75,,,5
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,119,M01,1.8,2.3,0.8,,,4.9
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,172,M01,1.75,1.25,1.75,,,4.75
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,196,M01,1.75,2,1,,,4.75
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,147,M01,1,2,1.5,,,4.5
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,193,M01,1.5,1.25,1.75,,,4.5
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,181,M02,1,2,1,,,4
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,204,M02,1.5,1,1.3,,,3.8
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,117,M02,1.3,1.3,1,,,3.6
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,187,M02,0.75,1.25,1.5,,,3.5
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,182,M02,1.5,1.25,0.75,,,3.5
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,175,M02,0.75,1.25,1.25,,,3.25
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,219,M02,3,1.8,0.7,,,5.5
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,207,M02,1.25,0.75,0.5,,,2.5
Ngôn ngữ Anh,Kỹ năng đọc 1,EL24,354,M02,1.4,0.6,0,,,2
CNKT điều khiển và tự động hoá,Truyền động điện  (3tc),CA21A1A,325,106,1,2,3,4,,10
CNKT điều khiển và tự động hoá,Truyền động điện  (3tc),CA21A1A,342,106,1,2,3,4,,10
CNKT điều khiển và tự động hoá,Truyền động điện  (3tc),CA21A1A,347,106,1,2,3,4,,10
CNKT điều khiển và tự động hoá,Truyền động điện  (3tc),CA21A1A,330,106,0,2,3,4,,9
CNKT điều khiển và tự động hoá,Truyền động điện  (3tc),CA21A1A,334,106,1,2,2,4,,9
CNKT điều khiển và tự động hoá,Truyền động điện  (3tc),CA21A1A,345,106,1,2,2,4,,9
CNKT điều khiển và tự động hoá,Truyền động điện  (3tc),CA21A1A,346,106,1,2,2,4,,9
CNKT điều khiển và tự động hoá,Truyền động điện  (3tc),CA21A1A,332,108,1,2,3,2,,8
